,B2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
811,20180903-150559_933,other,other,other,other,other,cre,other,other,emo,other,0,1,A1FVCMGXK85014,0,0,0,1,A1PVWZ8ZYJHCOJ,0,0,31,Male,White/Caucasian,6,Married,Employed for wages,5,Roman Catholic,4,5,3,3,3,3,3,3,3,3,5,4,4,4,4,1,1,1,1,4,2,1,3,3,3,1,4,4,4,76,Male,White/Caucasian,6,Divorced,Retired,2,Roman Catholic,5,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,3,5,1,1,1,1,1,1,1,1,1,1,4,4.037037037,1.333333333,1.259259259,1.37037037,4,4,3.851851852,1.111111111,1.296296296,4,4,3.814814815,1.185185185,1.148148148,3.962962963,1.185185185,1.185185185,1.185185185,1.148148148,3.962962963,4.037037037,3.037037037,4,2.185185185,3.296296296,3.703703704,3.851851852,3.740740741,3.814814815,3.666666667,3.481481481,3.592592593,3.851851852,4.259259259,3.925925926,3.925925926,4.666666667,4.62962963,4.444444444,4.296296296,4.592592593,4.592592593,4.407407407,4.407407407,4.37037037,4.555555556,4.444444444,4.148148148,3.740740741,3.259259259,3.296296296,3.333333333,3.407407407,3.222222222,3.185185185,3.148148148,3.259259259,2,2,2,4.074074074,4,4,3.962962963,3.962962963,1,1,1,5,4.733333333,3,4,4,2.2,2.066666667,2,1.933333333,2,2.866666667,4,4.066666667,1.866666667,1.8,1,1.933333333,4,4.266666667,2,4,1.933333333,6,6,1,1,1,6,1,6,6,3.733333333,6,6,6,1,4.266666667,6,1,1,6,1,1,1,6,1,1,6,6,6,5.933333333,1,1,1,1,2,3.2,3.4,2,2,2,3.866666667,3.866666667,9.444444444,6.733333333,6.740740741,-6.733333333,0.740740741,2.533333333,12.85185185,12.33333333,9.481481481,-0.933333333,12,6,12,4,16,4,8,15,1,1,0,0,0,8,0,1,1,0,0,0,6,1,0,1,16,13,6,6
812,20180903-151450_30,other,emo,emo,emo,other,emo,emo,emo,emo,emo,0,1,A3SS0C4IVTSIFL,0,1,1,1,A1249JB5291MR2,0,0,39,Male,White/Caucasian,6,Never been married,Employed for wages,4,Roman Catholic,3,3,3,3,3,3,3,2,2,5,5,2,5,5,4,4,1,1,1,1,1,1,5,5,5,1,5,5,5,50,Male,White/Caucasian,3,Married,Unable to work,2,Atheist,5,4,3,4,3,3,2,3,2,1,3,3,4,2,4,2,4,4,2,3,1,2,1,1,1,2,5,5,4,5,4,4,3,3,5,5,5,1,1,3,5,5,3,3,4,2,2,1,2,5,4,3,5,3,6,5,6,5,4,6,4,6,6,6,6,6,5,5,6,6,5,3,3,5,4,4,6,2,1,1,1,2,1,1,1,2,3,2,3,4,4,5,5,3,3,4,5,4,1.5,2.5,4.5,5,5,1.5,1,3,3,4,4,1,5,1,3.5,1,1.5,5,4,4,5,1.5,5,5,3,2,2.5,5,2,5,5.5,1,4,6,5,4,6,6,3.5,1.5,5,3,4.5,2,5,2.5,1.5,4.5,5.5,5.5,3.5,2,2.5,1.5,2,1.5,2.5,2,4,4,4,2,3,13,12,7,9,3,2,14,16.5,7,5,12,13,12,8,16,13,8,15,8,0,0,0,1,3,1,1,0,1,0,0,4,0,0,5,1,1,2,2
813,20180903-152518_191,other,cre,emo,emo,emo,cre,cre,emo,task,other,0,1,A3FT0V0X6ENE0T,0,0,0,1,A2YMYHBFXY8078,0,0,53,Female,White/Caucasian,3,Living with partner,Unable to work,2,Protestant (Baptist Methodist Non-denominational etc.),3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,5,5,1,5,5,5,30,Male,White/Caucasian,4,Never been married,Employed for wages,9,Other,2,4,2,2,4,2,4,4,3,3,4,4,4,3,4,3,3,3,1,4,1,2,2,1,2,3,2,3,2,4.5,4.5,3.5,3,3.5,4,4.5,4.5,3,1.5,4.5,4,4,1.5,1.5,4.5,1,2,1,1,3,4,3,3,1.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4.5,2.5,4.5,6,2,5.5,6,5.5,6,6,6,6,6,5.5,6,5.5,1.5,4.5,5,4,5,5,3.5,2.5,4,4,3.5,2,2.5,4.5,4.5,5,2.5,2,4.5,4.5,4.5,3.5,1,3.5,3.5,4,3,3.5,4.5,4.5,3.5,4,1.5,3.5,4,4.5,4.5,5,5,4.5,5.5,5.5,2.5,5.5,5,6,5.5,6,4.5,5,4.5,4.5,4,4,3,4.5,4,4.5,4.5,4,4.5,5,5,5,4.5,4.5,2,2,2.5,2,5,5,4.5,3.5,8.5,9.5,6,7,0.5,10.5,11.5,15,9.5,9,20,10,20,14,20,15,9,14,4,3,0,0,1,2,0,2,0,0,0,0,6,2,0,0,2,2,2,2
814,20180903-152549_306,other,other,emo,cre,other,cre,emo,cre,emo,other,0,1,A1FVCMGXK85014,0,0,0,1,A2YTQDLACTLIBA,0.03,1,32,Male,White/Caucasian,6,Married,Employed for wages,5,Roman Catholic,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,4,1,1,4,4,4,2,4,4,4,63,Female,White/Caucasian,5,Never been married,Employed for wages,5,Agnostic,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,1,1,1,1,4,1,1,5,5,5,1,3,3,3,4,4.037037037,1.333333333,1.259259259,1.37037037,4,4,3.851851852,1.111111111,1.296296296,4,4,3.814814815,1.185185185,1.148148148,3.962962963,1.185185185,1.185185185,1.185185185,1.148148148,3.962962963,4.037037037,3.037037037,4,2.185185185,3.296296296,3.703703704,3.851851852,3.740740741,3.814814815,3.666666667,3.481481481,3.592592593,3.851851852,4.259259259,3.925925926,3.925925926,4.666666667,4.62962963,4.444444444,4.296296296,4.592592593,4.592592593,4.407407407,4.407407407,4.37037037,4.555555556,4.444444444,4.148148148,3.740740741,3.259259259,3.296296296,3.333333333,3.407407407,3.222222222,3.185185185,3.148148148,3.259259259,2,2,2,4.074074074,4,4,3.962962963,3.962962963,5,5,3,2,4.333333333,5,4.833333333,4.833333333,2.166666667,1.666666667,5,5,5,1,1,5,1,1.166666667,1,1,5,5,2.666666667,5,1,5.333333333,5.5,3.5,3.333333333,3,5.5,2.5,5.666666667,5.833333333,2.5,6,6,6,2.166666667,6,6,2.666666667,1,5,2,2.166666667,3.5,6,5,2,4.333333333,5.333333333,5.5,4.666666667,4.666666667,3.166666667,3,4.833333333,1.666666667,3,4.5,3.5,5,5,3.166666667,3.166666667,9.444444444,10.83333333,6.740740741,6.666666667,0.740740741,-0.833333333,12.85185185,16.66666667,9.481481481,13,20,16,20,14,16,16,12,8,3,3,0,0,0,4,0,4,3,0,0,0,1,0,0,2,16,14,3,2
815,20180903-153105_741,other,other,other,cre,pro,log,pro,other,other,other,0,1,A161AJDHLJVCLZ,0,0,0,1,A1Z2ZGPJRGG0G3,0.5,1,30,Female,White/Caucasian,6,Married,Employed for wages,11,Atheist,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,2,2,2,55,Female,White/Caucasian,3,Never been married,Employed for wages,6,Other,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,1,1,1,1,1,1,3,3,3,4,3.911764706,2.323529412,2.058823529,3.852941176,4.029411765,4.029411765,4.029411765,1.970588235,1.970588235,3.970588235,4.029411765,4.029411765,1.941176471,1.941176471,3.941176471,2.088235294,2,2,2,4,4,3.294117647,4,2.088235294,3.911764706,3.588235294,3.352941176,3.382352941,3.676470588,3.764705882,3.5,3.588235294,3.705882353,3.205882353,3.617647059,4.088235294,4.058823529,3.970588235,4.205882353,4.029411765,3.970588235,3.029411765,4.235294118,3.941176471,3.970588235,2.647058824,4.058823529,3.176470588,3.088235294,3.382352941,3.411764706,3.352941176,3.264705882,3.117647059,3.117647059,3.235294118,3.205882353,2,2.058823529,4.029411765,4.058823529,3.970588235,4,2.852941176,4,4.5,4,2,2,4,4.5,4.5,4,2,1.5,5,5,5,1,1,3,4,4.5,1,1.5,1.5,3,2,1.5,4,6,6,1,1.5,1,6,1,6,6,1,4.5,6,6,4,6,4.5,1,2,3.5,3,2,1,6,4,1.5,5,6,6,2.5,3.5,2,1.5,6,1.5,4,5,5,4,4,2,3,8.147058824,9.5,4.323529412,4.5,4.147058824,8,13.20588235,4,8.147058824,13,8,16,8,16,16,16,11,7,0,1,1,2,0,6,1,2,2,0,0,0,4,1,0,0,21,20,1,1
816,20180903-153530_52,other,cre,cre,cre,emo,cre,emo,task,cre,pro,0,1,AH56J7I291XL7,0,0,0,1,A2A3S31M64BVVR,0,0,26,Female,White/Caucasian,4,Living with partner,Self-employed,8,Other,3,2,3,4,3,3,3,3,3,3,4,2,3,2,4,3,3,2,2,3,1,1,1,1,3,1,3,3,2,23,Male,White/Caucasian,3,Never been married,Employed for wages,3,Agnostic,4,5,5,3,5,5,5,5,5,5,5,4,4,3,5,3,2,2,2,3,1,1,3,3,2,1,3,3,3,5,4.5,5,2,3,5,5,5,2,3,4.5,4.5,5,1.5,1,5,2,2,2,2,5,4.5,4,4.5,1.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,4,4.5,5.5,5.5,5.5,5.5,5.5,2,4.5,4,4,4.5,4.5,5,4,3.5,5.5,5,5,5.5,5.5,5.5,5.5,4,1.5,4,3,2,5,5,3,2.5,4,4,3,1,3,4,5,4,3,4,5,5,5,3,2,4,2,2,2,1,4,5,4,4,2,3,5,1,3,3,3,3,4,3,1,3,4,6,4,5,6,3,2,6,4,4,2,6,6,1,5,5,6,4,5,4,4,4,2,3,4,3,4,4,3,2,10,6,9.5,7,3,3,16.5,15,11.5,10,13,18,12,20,11,16,13,12,2,5,0,1,1,1,0,8,0,0,0,0,0,0,0,2,1,1,1,1
817,20180903-154704_839,other,other,other,cre,cre,emo,emo,emo,other,other,0,1,A2C2QEHTYDJJ3Y,0,0,0,1,A197FECF831H95,0,0,29,Female,White/Caucasian,4,Married,Self-employed,11,Atheist,4,5,5,5,5,5,5,5,5,5,5,3,4,4,4,2,2,2,2,4,1,1,4,4,4,1,1,1,1,48,Female,White/Caucasian,2,Married,Employed for wages,11,Protestant (Baptist Methodist Non-denominational etc.),2,5,4,4,4,4,4,4,4,4,5,4,3,4,4,1,1,1,1,3,1,1,1,2,1,1,4,4,4,4,4,2.5,2.5,3.5,4,4.5,4.5,3.5,2,5,5,5,1,1,3.5,3,3,3,3,4.5,4.5,4,5,1,5.5,5,2,2,2,5,2,5,5.5,1,5,5.5,5,2.5,6,4.5,1,2.5,4,2.5,3,1,4,1.5,1.5,6,6,6,6,5.5,3,3,6,1.5,3.5,4,2,4.5,4.5,3,3,4.071428571,4,4,2,3.857142857,4,4,4,2,2,4.071428571,5,4,1,1.142857143,4.214285714,1.928571429,2,2,2,3.714285714,4,2,3.285714286,2.142857143,5.142857143,4.714285714,5.285714286,5.928571429,3.928571429,4.714285714,4.071428571,5.714285714,4.071428571,6,2.785714286,4.928571429,4.928571429,6,6,4.785714286,4,4.071428571,4,3.857142857,5,4.285714286,2,5,5.857142857,5.357142857,5.071428571,5.928571429,3.428571429,3.285714286,5.142857143,5.142857143,5.928571429,2.428571429,3.928571429,4.928571429,4.928571429,4,4,2,2,7.5,8,4.5,6.214285714,8.5,3.714285714,17,10.85714286,13,10.92857143,20,16,20,16,15,15,12,7,3,2,0,0,0,5,1,0,4,0,0,0,3,2,0,0,2,2,6,5
818,20180903-154729_573,other,other,cre,cre,cre,log,log,other,task,task,0,1,ABHKTBF20ZL6G,0,0.03,1,1,A3WNUUT4S3JFS,0,0,49,Female,White/Caucasian,4,Never been married,Employed for wages,3,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,1,2,3,3,3,1,3,3,3,46,Male,White/Caucasian,4,Married,Employed for wages,7,Roman Catholic,3,1,1,1,1,1,4,2,2,1,4,1,3,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,5,5,5,1,2,5,5,5,1,1,4,5,4,4,2,4,5,5,5,5,2,2,2,4,4,5,5,5,2,5,5,4,5,5,5,4,5,5,5,6,4,5,5,5,4,4,5,4,4,4,5,4,4,2,5,4,5,5,2,2,5,2,4,4,2,3,3.333333333,3,2,4,4.333333333,3.333333333,3,3.333333333,3,3,5,5,4,1.666666667,1.666666667,4,1.666666667,2.666666667,1.333333333,2.666666667,3,3,1.666666667,2,3,3.333333333,3.666666667,4.666666667,3.666666667,4.666666667,5,3.333333333,5.666666667,5.666666667,1.333333333,4,4.333333333,5.333333333,5.666666667,5.333333333,4.333333333,4,4.666666667,2.333333333,2.666666667,6,3,4.333333333,5,4,4,4.666666667,4,4.666666667,4,4.666666667,4.333333333,5.333333333,1.666666667,4.333333333,5,3,4.333333333,4.333333333,3,3.333333333,13,3.666666667,12,8.88E-16,16,4.333333333,6,6.666666667,7,10.66666667,16,4,16,9,16,9,12,6,0,3,2,0,2,4,2,0,1,0,0,0,3,1,0,3,1,1,2,2
819,20180903-155038_7,other,other,cre,log,emo,emo,log,log,other,other,0,1,A1ZHYS5O0CKLXB,0,0,0,1,A3S5MZ1O1XEYQI,1,1,38,Female,White/Caucasian,3,Never been married,Employed for wages,4,Agnostic,5,4,3,3,3,3,5,5,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,5,5,5,4,4,4,30,Male,White/Caucasian,4,Married,Employed for wages,5,Roman Catholic,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,3,3,3,3,4,3,4,4,4,4,3,3,3,5,5,3,2,2.8,4.8,5,5,1.2,1.2,4.2,3.8,4,2,1.8,3.8,2.6,3.2,2,2,4,4,2.8,4,2.4,5.8,5.2,2,3,3.2,4.6,3.2,5.2,4,1.2,4.2,5.6,4.4,3.6,4.2,4,1.4,1.8,3.6,3,4.2,1.2,4.4,3.2,3.8,2,2,2.2,3,2.6,3.4,3.2,2.4,1.4,3.4,4.4,3.2,4.4,4.4,4.2,3,3.333333333,3,3,3.666666667,4,4,4,4,4,3.666666667,3,3,2.666666667,3.333333333,3.333333333,3.666666667,3.666666667,3.333333333,2.666666667,2.666666667,3,3,3.333333333,4,4,4.333333333,4.333333333,4.333333333,4,4,4,4.333333333,4.333333333,4,4.666666667,4.666666667,5,5,4.666666667,4.666666667,4.333333333,4.333333333,4.333333333,4.333333333,4,4,4.333333333,4.333333333,4,4,3.666666667,4,4,4,4,4,4.333333333,4,2.666666667,2.666666667,3,3,3,3,3,3,12.4,4.333333333,8.2,1.666666667,6,8.666666667,12.4,9.333333333,8.2,2,12,16,16,16,12,14,9,14,2,1,3,0,0,4,2,0,1,0,0,0,4,3,0,0,4,4,1,1
820,20180903-155307_620,other,cre,log,log,log,task,pro,log,log,log,0,1,A1XYZ59F32389B,0,0.1,1,1,AKDDX03YN66YJ,0.1,1,42,Female,White/Caucasian,4,Married,A homemaker,7,Atheist,4,3,3,2,2,3,3,3,3,3,4,3,4,4,3,1,3,1,3,3,1,1,2,1,2,1,4,4,4,24,Male,Black/African American,3,Never been married,Out of work and looking for work,3,Other,2,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,2,2,2,2,4,4,5,4,1,1,5,4,4,1,1,3,2,4,1,2,5,5,3,5,1,5,6,1,4,1,5,2,6,6,1,2,5,6,6,6,4,2,1,4,2,4,1,3,3,1,5,6,4,4,3,2,3,5,2,4,4,2,4,4,1,2,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,4,6,6,5,6,6,5,6,6,5,6,5,6,5,6,5,6,5,6,6,6,5,6,6,1,1,2,2,1,1,2,1,1,2,1,1,1,1,5,5,4,5,11,5,0,4,6,14,17,15,11,5,10,19,12,20,14,19,11,23,0,1,7,1,1,1,1,0,2,0,0,0,4,0,0,3,1,1,1,1
821,20180903-155854_148,other,other,other,pro,other,cre,log,task,cre,task,0,1,A1IJ56N5Z4TT46,0,0.5,1,1,A8Z0X75DA938P,1,1,55,Male,Asian/Asian American,4,Married,Employed for wages,9,Buddhist,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,1,1,2,2,2,1,3,3,3,27,Female,White/Caucasian,4,Living with partner,Employed for wages,11,Atheist,4,4,3,2,2,3,4,5,5,5,5,3,4,4,4,1,1,1,1,2,1,1,2,3,3,1,5,5,5,4.666666667,4,3,2,3.333333333,4.333333333,4.333333333,4.333333333,1.333333333,1.333333333,5,4.333333333,5,1,1,4,1.333333333,3.333333333,1,1,4,4.333333333,4,4,1,4.333333333,4,4.333333333,4.333333333,3.666666667,4,3.333333333,4.666666667,5,3.666666667,4,3.666666667,5,5,6,3.666666667,3,4,4,5,4.666666667,3.666666667,4.333333333,5,4.333333333,5,4.333333333,5,3.666666667,2.333333333,2.333333333,2.333333333,4,2,3,5,3.333333333,4,4,3.333333333,3,2,2,4,5,4,4,5,2,1,5,4,3,3,4,1,4,4,4,1,2,3,2,2,3,2,5,5,6,3,4,5,5,6,6,1,2,5,6,4,6,2,2,2,6,3,5,4,5,6,1,6,6,6,4,2,5,4,6,2,4,5,3,4,5,3,1,10.33333333,5,6.333333333,-1,2.666666667,7,15.33333333,8,12.33333333,5,16,10,16,19,16,15,11,6,0,2,1,1,2,4,1,4,1,0,0,0,3,0,0,1,2,2,1,1
822,20180903-155911_448,other,other,other,emo,emo,emo,emo,log,task,other,0,1,A28Q4YJSLGWCL5,0,1,1,1,A3CAF7LTD3ORSG,1,1,62,Female,White/Caucasian,3,Divorced,Retired,8,Protestant (Baptist Methodist Non-denominational etc.),4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,5,1,1,5,5,5,1,5,5,5,44,Male,White/Caucasian,4,Never been married,Employed for wages,6,Orthodox (Greek Russian or some other Orthodox church),3,5,4,4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,4,2,5,1,3,3,3,5,5,4,1,3,5,5,5,1,1,4,4,3,1,1,5,2,4,2,2,3,4,4,4,3,6,6,4,4,4,6,4,6,6,4,5,6,6,4,6,6,5,1,5,2,4,1,5,3,5,6,6,6,2,3,4,2,4,1,4,5,4,5,5,3,3,5,5,2.333333333,1,4.666666667,5,5,5,1,2,5,5,5,1,1,4.666666667,1.666666667,2,2,1.333333333,4.666666667,4.666666667,1.333333333,4.333333333,1,5.333333333,5.333333333,4.666666667,5.333333333,5,5,5,5,5,5,5,5.666666667,5.333333333,5,5.333333333,5.333333333,5,5.333333333,5.666666667,5,5,5.666666667,5,5.333333333,5,5.666666667,4.666666667,4.666666667,4.666666667,5,5,4.666666667,4.666666667,2,4,4.666666667,4.666666667,4.333333333,4.666666667,1,3.333333333,13,12,10,6.666666667,5,2.333333333,12,14,9,13,20,16,20,19,19,20,9,9,4,0,1,0,1,5,1,0,0,0,0,0,8,0,0,1,1,1,1,1
824,20180903-160552_207,other,other,other,cre,cre,cre,cre,pro,log,log,0,1,ACP3L9X63GBRK,0,0,0,1,A2YTQDLACTLIBA,0.03,1,27,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Agnostic,2,3,4,4,5,5,3,4,3,3,4,3,2,2,4,1,1,2,2,4,1,1,3,3,3,1,3,3,4,63,Female,White/Caucasian,5,Never been married,Employed for wages,5,Agnostic,4,3,5,5,5,5,5,3,1,2,5,4,4,4,4,1,5,5,3,3,1,1,5,5,5,1,3,3,3,4.6,4.2,4.3,1.9,1.6,3.1,1.8,1.9,3.6,4.6,5,5,4.8,1,1,4,1.8,2,1.2,2.3,2,4.9,4.1,3.7,1,4.4,4,2.3,4.5,6,3.6,1.2,6,4.9,1,5.9,2,4.9,5.9,5,5,4,1.4,1.4,1.9,2,1,5.7,3.9,1,2,5.2,6,4.9,4.9,6,6,3.4,1.6,4,2.2,1,4.3,4.6,4,1.1,5,5,3,2,4.333333333,5,4.833333333,4.833333333,2.166666667,1.666666667,5,5,5,1,1,5,1,1.166666667,1,1,5,5,2.666666667,5,1,5.333333333,5.5,3.5,3.333333333,3,5.5,2.5,5.666666667,5.833333333,2.5,6,6,6,2.166666667,6,6,2.666666667,1,5,2,2.166666667,3.5,6,5,2,4.333333333,5.333333333,5.5,4.666666667,4.666666667,3.166666667,3,4.833333333,1.666666667,3,4.5,3.5,5,5,3.166666667,3.166666667,-1.4,10.83333333,9.6,6.666666667,3.3,-0.833333333,13.7,16.66666667,12.8,13,18,20,13,11,11,16,10,17,0,4,2,1,0,3,1,5,2,0,0,0,1,0,0,1,9,8,3,3
825,20180903-162604_585,other,other,other,task,emo,other,emo,other,log,emo,0,1,AFK56OAIREA9O,0,0,0,1,A3UC8KZ5O8FVX9,1.5,1,42,Male,White/Caucasian,4,Never been married,Employed for wages,12,Atheist,2,5,4,3,3,4,5,5,4,2,5,3,3,3,4,3,3,3,3,3,1,1,1,1,1,1,4,2,2,32,Female,White/Caucasian,3,Married,Employed for wages,8,Agnostic,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,1,1,1,4,1,1,4,4,4,1,4,4,4,3,1.5,2,3,2.5,3.5,3.5,3.5,3,2.5,4.5,3,5,3.5,2,4.5,2,2,1.5,1.5,4.5,5,3,4,1,5,5,1,1,1,5,1,5.5,5,1,5.5,5,6,1,6,5,6,2,6,1,1,4,6,1,1,3.5,6,6,5,4,6,6,5,1,5,5,4,5,5,1,1,4.25,4.5,2,2,4.25,4,4,4,2,2,3,3,3.5,3,2,2,4,4.5,4,4.25,5,3.5,4.25,4,2,3.75,4,1.75,2.75,3.5,3.25,3,3.75,3.25,1,2.5,4.75,5.25,4.5,5.25,4,4.25,4,4,2.75,4.5,2.5,4,3,2.5,4,5,4,1.5,1.75,1.75,3,5,2,4,2,1.25,4,4,2,2,5,8,1,4.5,2.5,14.75,15.5,14.75,7,4.5,14,20,16,20,13,16,15,8,3,0,1,0,1,5,1,1,0,0,0,0,5,0,0,3,1,1,3,2
827,20180903-163912_368,other,emo,other,other,emo,other,emo,other,task,log,0,1,ACP3L9X63GBRK,0,0,0,1,ATOV0H5KQHI29,0,0,27,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Agnostic,2,5,4,3,4,4,5,5,4,4,5,4,4,4,5,2,2,1,2,5,1,1,4,4,3,1,3,3,4,54,Female,White/Caucasian,2,Married,Employed for wages,4,Protestant (Baptist Methodist Non-denominational etc.),2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,1,1,1,5,1,2,2,3,4,2,5,5,5,4.6,4.2,4.3,1.9,1.6,3.1,1.8,1.9,3.6,4.6,5,5,4.8,1,1,4,1.8,2,1.2,2.3,2,4.9,4.1,3.7,1,4.4,4,2.3,4.5,6,3.6,1.2,6,4.9,1,5.9,2,4.9,5.9,5,5,4,1.4,1.4,1.9,2,1,5.7,3.9,1,2,5.2,6,4.9,4.9,6,6,3.4,1.6,4,2.2,1,4.3,4.6,4,1.1,5,5,1,1,5,4,4,4,1,1,4,5,5,1,1,4,2,4,4,4,4,4,1,2,2,4,4,5,4,3,5,3,6,5,6,4,6,5,6,6,6,5,6,4,4,5,6,4,4,6,6,5,6,3,3,2,2,6,1,4,5,2,4,4,4,4,-1.4,10,9.6,5,3.3,10,13.7,9,12.8,12,15,20,18,20,17,18,12,12,3,0,1,0,1,5,1,0,1,0,0,0,6,0,0,2,9,9,1,1
