,B2,V1,V11,V2,V12,V3,V13,V4,V14,V5,V15,V6,V16,V7,V17,V8,V18,V9,V19,V10,V20,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
388,20180901-125737_539,other,opening,other,opening,emo,providep,other,offtask,emo,providep,log,asktask,log,asktask,cre,asktask,pro,offtask,log,asktask,0,1,A1ZDHI15519WJ7,0,0,0,1,A32WJMEO2ZEEBN,1,1,24,Female,Black/African American,4,Married,A student,4,Protestant (Baptist Methodist Non-denominational etc.),3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,2,2,4,1,2,2,2,2,2,2,2,2,56,Female,White/Caucasian,3,Divorced,Employed for wages,3,Other,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,4,1,1,3,1,3,1,3,2,4,4.5,4.5,4,2,2.5,4,4,4.5,3,3,4,4,4,3,2,4,2,2.5,2,3,4,2,3.5,4.5,4,4,4,4,4,4,4,3.5,3.5,3.5,4,4,5,5,5.5,5,4.5,4.5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1.5,2,2,2,4.5,4,4,4,2,2,1,4,5,4,4,4,2,2,3,2,3,4,3,4,2,2,2,2,1,3,2,4,4,3,5,2,4,2,3,2,4,6,2,4,4,6,5,6,4,6,3,4,2,3,4,2,4,2,4,5,5,2,4,2,3,5,3,2,4,2,2,4,4,4,6.5,8,8.5,-4,5.5,4,10,6,7,1,16,12,16,12,16,16,14,12,2,1,3,1,0,4,2,4,1,0,0,0,2,0,0,2,1,1,1,1
389,20180901-142346_317,other,opening,other,asktask,other,providep,pro,asktask,cre,agree,task,positive,task,offtask,other,offtask,other,offtask,other,disagree,0,1,A26U4A6VC7YG5A,0,0,0,1,A1NXDNRUNL87XN,1,1,20,Male,Black/African American,3,Never been married,Employed for wages,3,Buddhist,2,5,3,4,4,4,4,5,5,5,5,4,4,4,5,4,1,1,1,4,1,1,1,5,5,1,5,5,5,34,Male,White/Caucasian,3,Never been married,Unable to work,2,Atheist,4,5,4,3,3,3,4,4,4,4,4,4,4,2,4,1,1,1,1,4,1,1,1,1,1,1,3,2,3,2,4,2,1,5,4,4,4,3,5,5,5,4,1,2,3,3,4,1,1,5,4,3,5,5,6,6,2,3,6,2,2,2,5,2,2,5,2,4,6,6,6,6,5,6,5,6,6,4,2,6,5,6,6,4,3,3,6,2,2,1,3,4,5,3,2,2,2,1,4.5,5,4.5,4.5,4.5,1,1,4,3,2,5,1.5,2.5,3,4.5,1,4,5,3,1,1,5,4,5,1,4.5,2.5,2,1,5.5,5.5,1,4.5,5,5.5,6,6,3.5,1,1,1,4,6,1,5.5,5.5,1.5,5,6,5,2,4,1.5,3,3.5,1.5,5,5,3,3.5,3,3,1.5,4,11.5,2,-4.5,6,10,12,5,11,2.5,15,13,19,16,17,14,11,8,0,1,0,1,2,6,1,2,1,1,0,0,1,1,0,3,1,1,2,2
390,20180901-152528_222,other,opening,other,providep,cre,offtask,cre,providep,emo,providep,task,agree,log,asktask,other,asktask,emo,offtask,other,agree,0,1,A2N93IVSZXSB73,0,0.5,1,1,A35UAZ5IKU14XW,0.5,1,53,Male,White/Caucasian,4,Married,Employed for wages,11,Roman Catholic,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,1,1,4,3,2,1,4,5,5,64,Female,White/Caucasian,6,Divorced,Retired,6,Agnostic,5,5,3,2,2,3,3,4,3,3,4,4,4,4,4,1,1,1,1,4,1,2,2,1,2,1,3,4,4,5,4.142857143,4,1.857142857,2.142857143,5,4.142857143,4,1,1,5,4.142857143,5,1,1,5,1,1,1,1,5,5,4.142857143,4.714285714,1,5.142857143,5,3,4.285714286,6,5.428571429,4.714285714,6,6,6,4.857142857,5,5.714285714,6,6,5.857142857,4,4,1,3.285714286,5.571428571,6,5,4.714285714,5,4.142857143,6,5,4.857142857,5,5,6,5,1.714285714,4,4.857142857,4,4.857142857,4.142857143,2,2,3.75,4,3.25,2.75,2.75,4.75,4.75,4.25,1.5,1,4.5,4,3.75,4,1.5,3.5,2.75,3.5,2,1.5,3.75,3.5,4,3.75,2.5,6,6,3.75,3,2,6,2,6,6,1,4,6,6,4,6,6,5,1,5,3,4,1,5.25,3,2.75,5,6,5.25,3,2.75,2.75,2.5,3.75,1.25,4,5,3,4,4,3,3,11.14285714,11.25,9.142857143,5.5,-1,6.25,17.85714286,12.5,12.14285714,6.75,14,10,16,13,16,16,12,8,2,2,1,0,1,5,1,2,2,0,0,0,3,0,0,3,6,1,3,1
391,20180901-154211_517,other,opening,other,asktask,other,asktask,emo,asktask,cre,asktask,emo,asktask,cre,providep,task,providep,log,providep,task,providep,0,1,A1TGSYR7H0PKEI,0,0,0,1,A30DU5GIG75462,0,0,33,Male,White/Caucasian,4,Married,Employed for wages,9,Roman Catholic,3,2,1,1,3,3,2,1,3,2,4,1,4,4,5,5,3,4,3,4,5,1,1,2,3,4,3,2,3,33,Male,White/Caucasian,3,Never been married,Self-employed,6,Atheist,3,1,2,3,1,2,1,2,2,1,3,1,3,2,3,4,4,4,2,1,2,2,1,1,1,2,3,3,3,4,3,2,4,2,3,4,5,2,4,4,3,2,3,1,4,1,3,4,2,3,1,2,4,3,4,3,3,5,3,4,5,3,2,3,4,5,4,5,4,5,4,6,6,6,4,3,4,3,2,1,2,2,1,2,4,5,2,3,2,5,4,2,4,4,4,1.5,2,2,3.5,3.5,3,4,2.5,2.5,2.5,3.5,3,2.5,4,3,3,4,4.5,3,4,4,3,3,4.5,3,4,4,3.5,3.5,5,3,3,5,5,1,3,4,4,4.5,5.5,3,4,4,3,3,5,2,2.5,2.5,2.5,3,4,4,2.5,3,3,3,4.5,2,2,2.5,2,3,3,4,4,6,4.5,3,-1.5,6,12.5,7,11.5,5,2,8,8,8,6,14,9,19,15,2,2,1,0,2,3,1,5,0,0,0,0,4,0,0,0,1,1,1,1
392,20180901-160047_444,other,opening,other,offtask,other,asktask,cre,offtask,cre,asktask,emo,offtask,emo,asktask,other,offtask,emo,asktask,emo,providep,0,1,A35UAZ5IKU14XW,0,0.5,1,1,A3O4POFB1S8SGX,0,0,64,Female,White/Caucasian,6,Divorced,Retired,6,Agnostic,5,4,4,4,4,3,3,3,3,3,4,4,4,4,4,1,2,2,2,4,1,2,2,1,2,2,4,4,4,53,Male,White/Caucasian,4,Married,Self-employed,4,Other,3,3,3,3,4,3,4,4,3,4,4,3,3,4,4,2,3,2,1,3,1,1,1,1,2,1,3,3,4,3.75,4,3.25,2.75,2.75,4.75,4.75,4.25,1.5,1,4.5,4,3.75,4,1.5,3.5,2.75,3.5,2,1.5,3.75,3.5,4,3.75,2.5,6,6,3.75,3,2,6,2,6,6,1,4,6,6,4,6,6,5,1,5,3,4,1,5.25,3,2.75,5,6,5.25,3,2.75,2.75,2.5,3.75,1.25,4,5,3,4,4,3,3,3,4,1,2,5,4,4,4,2,2,5,4,4,1,1,3,3,3,2,4,4,4,4,4,2,6,5,3,3,3,4,2,6,6,1,5,6,6,3,6,5,1,4,2,2,3,2,5,3,3,4,5,6,4,1,2,3,4,2,3,3,3,4,4,2,2,11.25,8,5.5,1,6.25,9,12.5,14,6.75,11,15,13,12,15,16,14,11,11,5,2,1,0,0,4,1,4,0,0,0,0,3,0,0,4,3,2,1,1
393,20180901-161656_635,other,opening,cre,agree,emo,providep,emo,asktask,cre,asktask,cre,agree,emo,providep,other,providep,emo,offtask,log,positive,0,1,A140YK07NHCPOF,0,0.3,1,1,ATPESQAKH55FM,0,0,49,Female,White/Caucasian,4,Married,Employed for wages,10,Protestant (Baptist Methodist Non-denominational etc.),2,5,4,3,3,4,4,4,4,4,5,4,5,4,5,3,1,1,1,3,1,1,2,2,2,1,5,5,5,43,Female,White/Caucasian,5,Divorced,A homemaker,1,Protestant (Baptist Methodist Non-denominational etc.),2,5,4,4,2,3,5,5,5,5,4,4,4,5,5,1,1,1,1,4,2,2,1,1,2,1,4,4,4,5,4.75,2.5,2,4.25,5,5,5,1,1,3.25,4,4,1.75,1.25,2.5,2,1.5,1,1.5,1.75,4.25,2,4.75,2,5,5.25,5.25,4.25,5.5,6,3.75,6,5.5,6,4,5,5,5,6,4.75,4,4,5,3.25,3.25,6,3.75,3.75,3.5,5.5,5.5,5,5.25,3,3,3,2.75,1.75,4,4,4,4,4,2.5,2,5,4,4,1.5,3,3.5,4,4.5,2,2,3,4.5,4,1,2,3,4,4.5,4,4,5,5,5,4,1,3.5,5,4.5,5,5.5,4,5,5,6,5,5,3.5,6,5,5.5,6,4,4,1.5,2.5,3.5,5,4.5,4.5,5,4.5,6,5,2.5,1,3.5,3.5,5,2,2,5,2,4,4,3,3,13,8,6,8.5,3.5,13.5,10.75,18,8.25,8.5,14,13,16,20,18,18,9,8,4,3,2,0,0,3,1,2,2,0,0,0,3,1,0,2,2,1,1,1
394,20180901-164025_222,other,opening,other,offtask,emo,providep,emo,providep,emo,offtask,emo,providep,other,providep,other,offtask,other,offtask,emo,offtask,0,1,A37Y6PZ66I3C6X,0,0,0,1,A12DY4HHG6MYF0,1,1,42,Female,White/Caucasian,6,Divorced,Employed for wages,11,Buddhist,5,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,1,1,1,1,1,1,3,3,3,1,4,4,4,26,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Roman Catholic,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,1,1,5,5,5,1,5,5,5,4.5,5,4.5,1.5,2,5,5,5,1,3,5,5,5,1.5,1,3.5,1.5,2.5,1.5,1,5,5,5,5,1,5,6,1.5,4.5,6,6,2,6,6,1,3.5,6,5.5,3.5,6,4,1,1.5,4.5,1,2.5,1,6,1.5,2,6,6,6,6,2.5,3.5,1.5,4,1,4.5,5,2,5,4.5,2,2.5,5,5,5,5,4.428571429,5,5,5,3.857142857,2.714285714,5,4.428571429,5,3.857142857,3.857142857,5,3.285714286,3.857142857,4.428571429,2.142857143,5,5,3.285714286,5,2.714285714,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.285714286,6,6,6,6,6,5.714285714,5.857142857,5.857142857,6,5.857142857,5.857142857,6,6,6,6,1.571428571,1.714285714,2.142857143,2.142857143,4.714285714,5,4.857142857,5,11,8.428571429,10.5,5.571428571,3,8.714285714,19,15.57142857,12.5,6.714285714,12,20,14,20,13,20,7,13,5,0,1,0,0,5,1,0,0,0,0,0,4,0,0,5,1,1,4,1
395,20180901-170812_961,other,opening,other,providep,cre,providep,cre,offtask,emo,providep,emo,providep,pro,providep,log,providep,emo,providep,emo,providep,0,1,AVN1RGGP00USR,0,0,0,1,A2L0XRNU4SG8UA,0,0,21,Male,White/Caucasian,3,Living with partner,A student,12,Roman Catholic,1,1,2,2,2,2,1,1,1,1,5,2,2,1,1,3,4,4,2,1,5,2,3,3,3,2,2,2,2,42,Male,Other,3,Divorced,Self-employed,2,Atheist,4,1,3,3,3,2,1,3,3,3,5,3,3,1,3,5,5,5,3,1,1,1,3,5,3,1,1,1,1,3.5,3,2,4,4,3,4,4,2.5,2,3,4,4,3.5,3.5,2.5,4,4.5,2,2.5,4,4.5,2.5,4,2,5,4.5,2,1.5,2,2,1.5,5,4.5,2.5,5,3,6,4,4.5,5.5,4,6,2.5,3.5,2.5,3,6,4,4.5,5,3.5,5,3.5,4,5.5,4.5,4.5,4,2,3,4.5,4.5,4.5,3,1.5,5,5,4,1,3,5,5,5,1,1,4,3,3,2,2,3,2,3,2,2,5,5,3,4,1,5,6,1,1,1,5,1,5,6,1,6,5,5,4,6,5,4,3,1,3,2,1,6,1,2,5,6,6,4,5,2,2,4,2,3,5,3,4,4,2,3,6.5,13,0.5,10,10.5,6,13,16,4,6,8,11,4,10,6,10,14,19,4,2,2,1,0,3,1,0,0,0,0,0,9,0,0,1,2,2,1,1
396,20180901-171431_849,other,opening,other,asktask,cre,providep,other,providep,log,providep,log,disagree,other,offtask,pro,providep,other,providep,other,providep,0,1,A3T6IV6ATAAQMS,0,0.05,1,1,A197FECF831H95,0,0,26,Female,White/Caucasian,6,Living with partner,Employed for wages,5,Atheist,5,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,48,Female,White/Caucasian,3,Married,Employed for wages,11,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,4,4,4,4,4,3,3,4,4,3,2,2,1,1,1,1,2,1,1,2,4,1,1,4,4,4,5,5,2,3,3,4,5,5,2,2,4,5,4,4,2,2,4,4,4,4,2,4,3,3,2,5,4,3,3,2,4,2,5,5,1,4,4,4,4,5,4,2,2,5,5,5,1,5,3,2,5,6,4,3,4,3,4,5,3,2,4,3,4,4,3,3,4.071428571,4,4,2,3.857142857,4,4,4,2,2,4.071428571,5,4,1,1.142857143,4.214285714,1.928571429,2,2,2,3.714285714,4,2,3.285714286,2.142857143,5.142857143,4.714285714,5.285714286,5.928571429,3.928571429,4.714285714,4.071428571,5.714285714,4.071428571,6,2.785714286,4.928571429,4.928571429,6,6,4.785714286,4,4.071428571,4,3.857142857,5,4.285714286,2,5,5.857142857,5.357142857,5.071428571,5.928571429,3.428571429,3.285714286,5.142857143,5.142857143,5.928571429,2.428571429,3.928571429,4.928571429,4.928571429,4,4,2,2,10,8,6,6.214285714,14,3.714285714,10,10.85714286,7,10.92857143,8,16,9,14,8,11,10,6,0,1,2,1,0,6,1,1,0,1,0,0,6,0,0,1,1,1,6,1
397,20180901-180119_88,other,opening,other,offtask,pro,asktask,cre,agree,other,providep,other,providep,pro,agree,other,providep,log,positive,other,agree,0,1,A197FECF831H95,0,0,0,1,A12DY4HHG6MYF0,1,1,48,Female,White/Caucasian,3,Married,Employed for wages,11,Protestant (Baptist Methodist Non-denominational etc.),2,4,5,5,5,4,5,5,4,4,5,5,4,4,4,1,1,1,1,2,1,1,1,4,1,1,3,3,3,26,Male,White/Caucasian,4,Never been married,Self-employed,6,Roman Catholic,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,5,5,1,5,5,5,4.071428571,4,4,2,3.857142857,4,4,4,2,2,4.071428571,5,4,1,1.142857143,4.214285714,1.928571429,2,2,2,3.714285714,4,2,3.285714286,2.142857143,5.142857143,4.714285714,5.285714286,5.928571429,3.928571429,4.714285714,4.071428571,5.714285714,4.071428571,6,2.785714286,4.928571429,4.928571429,6,6,4.785714286,4,4.071428571,4,3.857142857,5,4.285714286,2,5,5.857142857,5.357142857,5.071428571,5.928571429,3.428571429,3.285714286,5.142857143,5.142857143,5.928571429,2.428571429,3.928571429,4.928571429,4.928571429,4,4,2,2,5,5,5,5,4.428571429,5,5,5,3.857142857,2.714285714,5,4.428571429,5,3.857142857,3.857142857,5,3.285714286,3.857142857,4.428571429,2.142857143,5,5,3.285714286,5,2.714285714,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.285714286,6,6,6,6,6,5.714285714,5.857142857,5.857142857,6,5.857142857,5.857142857,6,6,6,6,1.571428571,1.714285714,2.142857143,2.142857143,4.714285714,5,4.857142857,5,8,8.428571429,6.214285714,5.571428571,3.714285714,8.714285714,10.85714286,15.57142857,10.92857143,6.714285714,19,20,18,20,17,20,6,9,0,1,1,2,0,6,1,1,3,0,0,0,3,1,0,1,6,2,4,2
398,20180901-180231_790,other,opening,cre,asktask,cre,asktask,emo,providep,emo,providep,emo,providep,other,providep,emo,providep,other,providep,log,positive,0,1,A14Y7SLN1VARVO,0,0.1,1,1,A2OATZCX1YXE77,0,0,44,Female,White/Caucasian,4,Married,Out of work and looking for work,12,Roman Catholic,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,4,4,1,5,5,5,37,Female,White/Caucasian,6,Married,Employed for wages,9,Agnostic,2,5,4,4,4,4,4,4,4,4,5,4,4,4,4,1,1,1,1,4,1,1,4,4,4,1,2,2,2,4,4,2,3,4,5,5,4,1,1,5,5,4,3,2,2,4,5,3,3,4,4,4,5,2,6,5,4,4,5,6,5,6,6,6,5,4,4,4,6,5,4,4,6,3,4,4,4,4,3,6,5,6,3,2,4,3,4,3,2,4,4,5,4,3,3,5,5,5,1,1.235294118,5,5,4.941176471,1,1,4.941176471,5,4.941176471,1.411764706,1,2.588235294,3.352941176,3.529411765,1.235294118,1.235294118,1,4.941176471,1,3.647058824,1.823529412,5,4.411764706,5,5,5,4.705882353,5,4.941176471,4.941176471,1.235294118,4.823529412,4.352941176,4.235294118,5.117647059,5.235294118,4.882352941,5,5,2.411764706,4.941176471,5.235294118,5,4.941176471,4.470588235,4.470588235,4.529411765,4.352941176,4.470588235,4.588235294,4.411764706,4.352941176,4.352941176,4.411764706,4,1.882352941,4.058823529,3.823529412,4,3.882352941,2,2,12,12.94117647,3,12.76470588,13,6.764705882,15,8.764705882,9,12.47058824,20,16,20,16,20,16,9,8,4,2,1,0,0,3,1,2,0,0,0,0,6,1,0,0,1,1,11,6
399,20180901-180617_95,other,opening,emo,providep,emo,providep,cre,asktask,cre,offtask,task,offtask,emo,agree,other,positive,other,offtask,other,offtask,0,1,ABAV4NZ1O9O9U,0,1,1,1,A3RSZN0UNN5GSC,0.15,1,22,Female,White/Caucasian,3,Never been married,Employed for wages,2,Protestant (Baptist Methodist Non-denominational etc.),3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,3,5,5,1,4,4,4,33,Female,White/Caucasian,4,Never been married,A student,4,Agnostic,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,2,3,1,3,1,3,3,3,5,4.5,4.5,1.5,2.5,4,3.5,4,2.5,2.5,4.5,4,4,4,1,3,2,4,3,4.5,5,5,5,5,1.5,4,3,2,3.5,5.5,4.5,1,5.5,5,5.5,2.5,5.5,3.5,4,6,4.5,3,3,5,2.5,3,4.5,2,3,2,5.5,5,6,6,3.5,3.5,4.5,1,3,2.5,3,1.5,4.5,4.5,3,2.5,4,4,1.25,2.125,4.75,4,5,4.5,1.875,1,5,4,4.625,2,1.125,2.5,4.25,4.25,4,1.625,4,4,4,4.375,1.875,6,6,1.125,1.875,2,6,1.625,6,6,1,5.25,6,6,5,6,6,5,2,3,4,3.875,2,6,3.875,3.125,5.5,6,6,3,3.125,4.5,3,4.625,2,3.625,5,2,3.625,3.625,3.25,3.25,6.5,10.625,10,2.375,10.5,11.625,18.5,14.5,7.5,10.5,20,20,20,20,20,20,9,9,3,2,0,0,1,5,1,1,1,0,0,0,2,1,0,4,1,1,4,4
400,20180901-190207_933,other,opening,other,providep,other,asktask,cre,providep,cre,providep,emo,providep,cre,providep,log,offtask,log,providep,log,providep,0,1,A2XH803LQTVROS,0,1,1,1,A1MBWGNA4YM5FA,0,0,32,Female,White/Caucasian,4,Married,A homemaker,7,Agnostic,3,2,2,2,2,2,2,2,2,2,5,1,1,1,1,3,5,5,5,1,4,1,1,1,1,3,4,4,4,34,Female,White/Caucasian,3,Married,A homemaker,3,Protestant (Baptist Methodist Non-denominational etc.),1,3,3,5,2,2,2,3,2,2,4,2,2,2,3,3,2,1,4,4,2,1,1,1,1,1,1,1,1,1.133333333,1,1,4.733333333,4.533333333,2.266666667,2.666666667,2.466666667,3.8,2.933333333,5,5,5,1.133333333,1.4,1.666666667,4.466666667,4.466666667,4,4.133333333,2.333333333,2.933333333,2.466666667,2.733333333,2.8,1.933333333,2.6,1.066666667,3.933333333,1.6,2.533333333,2.933333333,3.8,4.466666667,1,4.266666667,2.066666667,4.666666667,4.866666667,5.066666667,4.933333333,1,2.2,1,3.533333333,4.866666667,2.266666667,4.866666667,5.533333333,1.333333333,3.6,5,4.333333333,1.866666667,1.466666667,1.266666667,1.2,4.2,1.466666667,3.6,3.266666667,1.8,5,5,1.2,1.066666667,5,4,4,2,3.5,4,3.5,4,3,1.5,2.5,3.5,3,4,2.5,2.5,4.5,5,5,4.5,2.5,3,2,2,3,3.5,4,5.5,5,5.5,5,4.5,6,6,6,4,3.5,4,4.5,4,5,3,5,2.5,2,3.5,4,3,6,4,5.5,5,5,5,4,4,5.5,6,1,4.5,5,2,4.5,3,3.5,2.5,0.666666667,7,-6.133333333,7.5,15.4,16.5,7.666666667,6.5,12.46666667,2.5,8,12,8,9,4,9,19,14,1,3,3,0,0,3,1,1,0,0,0,0,7,0,0,1,6,3,1,1
401,20180901-191816_441,other,opening,other,asktask,emo,askp,log,providep,other,offtask,other,offtask,other,offtask,emo,providep,log,offtask,other,positive,0,1,ADU7XJYUJLGNA,0,0,0,1,A2Z8AB84TU105G,0.05,1,47,Female,White/Caucasian,4,Living with partner,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),3,5,4,4,4,4,5,5,4,5,5,5,3,3,5,1,1,1,1,4,1,1,2,5,4,1,5,4,3,20,Female,White/Caucasian,3,Living with partner,A student,1,Roman Catholic,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,2,2,2,2,4,3,3,3,3,3,3,3,3,3,2,1,2,4,5,4.5,5,5,1.5,1,4.5,5,4.5,4,1.5,1,5,5,5,5,5,5,5,5,1,6,5,3.5,6,4,6,4,6,6,2,4,5,6,6,6,6,3,2.5,5.5,2.5,3.5,1.5,6,4.5,3,6,5.5,5.5,4,3,5,3.5,6,1,4,5,2,5,4.5,4.5,5,4.25,3.75,3.75,3,3.25,3.75,4,3.75,2.5,3,4,4,4,3,3,3.5,4,4,3.75,3.75,3,3.75,3.75,4,3.5,5,5,5,5,5,5,5,5,5,5,5,4.25,4.5,4.25,4.25,4.25,4,3.75,4,3.75,4.5,4,4.25,3.5,3,2.75,2.75,2.75,2.75,2.5,2.75,2.75,2.75,2,2.25,2.75,2,3.75,3.75,3.75,3.75,12,6,-4,5.5,19,12,19,11,8.5,6,16,13,19,12,16,15,8,12,2,0,2,0,0,6,1,1,0,0,0,1,2,1,0,4,1,1,2,1
402,20180901-191837_893,other,opening,other,asktask,other,providep,log,offtask,other,offtask,cre,offtask,log,positive,other,offtask,emo,offtask,log,agree,0,1,A2XH803LQTVROS,0,1,1,1,A29JLB7MO2BZ7T,1,1,32,Female,White/Caucasian,4,Married,A homemaker,7,Agnostic,3,5,4,4,4,4,4,4,4,4,5,4,4,4,4,1,1,1,1,4,1,1,3,3,3,1,4,4,4,41,Male,White/Caucasian,6,Married,Employed for wages,12,Atheist,4,3,2,2,3,2,4,4,2,3,3,3,3,3,4,2,2,2,2,2,1,1,1,1,1,1,3,3,4,1.133333333,1,1,4.733333333,4.533333333,2.266666667,2.666666667,2.466666667,3.8,2.933333333,5,5,5,1.133333333,1.4,1.666666667,4.466666667,4.466666667,4,4.133333333,2.333333333,2.933333333,2.466666667,2.733333333,2.8,1.933333333,2.6,1.066666667,3.933333333,1.6,2.533333333,2.933333333,3.8,4.466666667,1,4.266666667,2.066666667,4.666666667,4.866666667,5.066666667,4.933333333,1,2.2,1,3.533333333,4.866666667,2.266666667,4.866666667,5.533333333,1.333333333,3.6,5,4.333333333,1.866666667,1.466666667,1.266666667,1.2,4.2,1.466666667,3.6,3.266666667,1.8,5,5,1.2,1.066666667,4,4,1.75,2,3.5,4,4,4,2.5,2.25,4.5,4,4,1.25,1.75,2,3.5,4,1.5,2.5,4,4,2.25,4,1.5,4,4.25,1,1.5,1,4,1,5,5.5,1,3.75,4.5,4.25,4,6,4,3,4,1,2.75,4.5,4,6,2.25,2.5,3.5,3,3.75,4,3.5,3.75,3.5,3.5,2,2.25,2,2,4,4,2.75,1.75,0.666666667,7.25,-6.133333333,4.25,15.4,9.5,7.666666667,12.75,12.46666667,9.5,16,9,16,13,16,13,8,10,1,1,3,0,0,5,1,1,1,0,0,0,1,1,0,5,6,4,3,2
